id,Text,clean,cluster
1,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,6
2,Ok lar... Joking wif u oni...,ok lar joking wif u oni,8
3,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry in a wkly comp to win fa cup final tkts st may text fa to to receive entry question std txt rate t c s apply over s,6
4,U dun say so early hor... U c already then say...,u dun say so early hor u c already then say,6
5,"Nah I don't think he goes to usf, he lives around here though",nah i don t think he goes to usf he lives around here though,7
6,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",freemsg hey there darling it s been week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send to rcv,0
7,Even my brother is not like to speak with me. They treat me like aids patent.,even my brother is not like to speak with me they treat me like aids patent,0
8,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,6
9,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner as a valued network customer you have been selected to receivea prize reward to claim call claim code kl valid hours only,6
10,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,had your mobile months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on,6
11,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",i m gonna be home soon and i don t want to talk about this stuff anymore tonight k i ve cried enough today,6
12,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chances to win cash from to pounds txt csh and send to cost p day days tsandcs apply reply hl info,6
13,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent you have won a week free membership in our prize jackpot txt the word claim to no t c lccltd pobox ldnw a rw,6
