penulis,judul,abstrak_indo,abstrak_english,pembimbing_pertama,pembimbing_kedua,prodi
Dyah Ayu Citra Seza,Implementasi Fungsi Legislasi Dewan Perwakilan Rakyat Daerah Kabupaten Bangkalan Periode 2009-2014 Dalam Pembentukan Peraturan Daerah ,"ABSTRAK

       Implementasi Fungsi Legislasi DPRD Kabupaten Bangkalan Periode 2009-2014 Dalam Pembentukan Peraturan Daerah menurut ketentuan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945 maupun Undang-Undang Republik Indonesia Nomor 12 Tahun 2011 Tentang Pembentukan Peraturan Perundang-undangan dan Undang-Undang Republik Indonesia Nomor 32 Tahun 2004 Tentang Pemerintahan Daerah menentukan bahwa fungsi legislasi berada ditangan DPRD. Fungsi Legislasi yang dimiliki oleh DPRD merupakan fungsi pembentukan peraturan daerah (perda). Begitupula dengan DPRD Kabupaten Bangkalan yang memiliki fungsi legislasi tersebut dalam pembuatan peraturan daerah. 
       Metode penelitian yang digunakan adalah yuridis normatif. Pendekatan masalah menggunakan pendekatan perundang-undangan (statute approach). 
       Hasil penelitian ini menunjukkan bahwa dalam pelaksanaan fungsi legislasi DPRD Kabupaten Bangkalan dalam pembentukan peraturan daerah melalui beberapa tahapan yaitu melalui penyusunan program legislasi daerah (prolegda) dalam perencanaan penyusunan peraturan daerah sampai dengan proses sosialisasi rancangan peraturan daerah tersebut. Permasalahan atau kendala yang dihadapi DPRD Kabupaten Bangkalan dalam pembentukan peraturan daerah adalah masih minimnya sumber daya manusia yang memadai, adanya perbedaan cara pandang dari tiap anggota legislatif, adanya latar belakang partai politik yang mendominasi, kurangnya komunikasi politik antara pihak legislatif dalam hal ini DPRD Kabupaten Bangkalan sebagai lembaga legislatif dengan masyarakat tersebut serta tidak adanya kesepakatan antara pihak eksekutif (kepala daerah) dengan masyarakat terkait penyusunan rancangan peraturan daerah. 
       Upaya yang dilakukan adalah kepala daerah dan DPRD harus bekerja sama demi kesejahteraan warga masyarakatnya dan kaitannya dengan pembentukan peraturan daerah DPRD tidak hanya kepala daerah saja yang dimintai pendapat tetapi masyarakat juga ikut dimintai pendapatnya. Pemerintah dan DPRD harus mendengar aspirasi dari warga masyarakatnya sehingga ada dengar pendapat antara pemerintah, DPRD dan warga masyarakat tentang peraturan yang dibuat. 
","ABSTRACT
       Implementation of Legislation Parliament function Bangkalan period 2009-2014 in accordance with local regulation Formation of the Constitution of the Republic of Indonesia Year 1945 and Law of the Republic of Indonesia Number 12 Year 2011 On Establishment of Legislation and Law of the Republic of Indonesia Number 32 Year 2004 on Regional Government determines that a legislative function in the hands of Parliament. Legislation functions held by Parliament is a function of the establishment of local regulations (regulations). Neither the Parliament Bangkalan having a legislative function is the creation of local regulations. 
        The research method used is normative. Approach to the problem using this approach legislation (statute approach). 
       The results of this study indicate that the implementation of the legislative functions of Parliament Bangkalan in the formation of local regulations through several stages of drafting program through local legislation (prolegda) preparation of local planning regulations to disseminate the draft local regulation. Problems or obstacles encountered in the formation of Parliament Bangkalan local regulation is still lack of adequate human resources, the different perspectives of each member of the legislature, Problems or obstacles encountered in the formation of Parliament Bangkalan local regulation is still lack of adequate human resources, the different perspectives of each member of the legislature, the background of the dominant political party, the lack of communication between the legislative politics in this Parliament as the legislature Bangkalan with the community and the lack of agreement between the executive (head area) with the drafting relevant regulations. 
       Effort is the head area and Parliament should work together for the welfare of their peoples and local regulations related to the establishment of parliament is not only the head area are consulted but society also consulted. The government and parliament must hear the aspirations of their peoples so that no hearing between the government, Parliament and the community on the rules made. 
","Yudi Widagdo Harimurti, SH., MH","Safi', SH., MH",Ilmu Hukum
Maulina Nurlaily,"Pertanggungjawaban Pidana Direksi BUMN (Persero)
(Anotasi Putusan No. 1144 K/Pid/2006)","Badan Usaha Milik Negara (BUMN) adalah Badan usaha yang sebagian atau seluruh modalnya dimiliki oleh Negara yang berasal dari kekayaan negara yang dipisahkan. Namun, segala ketentuan yang berlaku pada BUMN (Persero) mengacu pada Undang-undang Perseroan Terbatas. Tapi pada kenyataannya kasus yang terjadi pada Direksi BUMN (Persero), dimana Direksi harus bertanggungjawab secara pidana kususnya tindak pidana korupsi dalam Putusan Hakim No. 1144/K/Pid/2006. Hal tersebut dikarenakan sebagian modal modal BUMN (Persero) dimiliki negara. Jadi, ketika BUMN tersebut mengalami kerugian maka dianggap negara juga mengalami kerugian. Tujuan dari penulisan ini yaitu untuk mengetahui bagaimana pertanggungjawaban Direksi BUMN (Persero) ketika terjadi kerugian pada BUMN tersebut. 
Metode yang digunakan dalam penulisan ini yaitu yuridis normatif yang mana dalam penelitian ini menggunakan pendekatan statue approach (Pendekatan perundang-undangan) dan case approach (Pendekatan Kasus). 
Hasil yang diperoleh dalam penulisan ini yaitu Badan Usaha Milik Negara (BUMN) identik dengan Perseroan terbatas. Maka segala ketentuan yang berlaku pada BUMN (Persero) dan Pertanggungjawaban Direksi BUMN mengacu pada Undang-undang Perseroan Terbatas.


Keyword: Pertanggungjawaban pidana, Direksi, Kerugian, BUMN
","State Owned Enterprises (SOEs) are business entities that are partly or wholly owned by the State from the wealth separated state. However, all the provisions applicable to the state (Limited) refers to the Limited Liability Company Act. But in fact the case with the Board of Directors of SOEs (Limited), which the Board of Directors shall be criminally responsible kususnya corruption in Decision No. Hakim. 1144/K/Pid/2006. That is because most of the capital stock owned (Limited) owned by the state. So, when the state is experiencing a loss is considered the country also suffered losses. The purpose of this paper is to determine how the liability of Directors SOE (Limited) when there is a loss in the state.
The method used in this paper is the normative juridical which in this study using the approach statue approach (Approach legislation) and case approach (Case Approach).
The results obtained in this paper are State Owned Enterprises (SOEs) is identical to the limited liability company. So all the provisions applicable to the state (Limited) and refers to the state Board Accountability Act Company Limited.



Keyword: criminal responsibility, the Board of Directors, Loss, SOE","Tolib Effendi, SH., MH.","Dr. Eni Suastuti, SH., Mhum.",Ilmu Hukum
Moh. Samsul Hidayat,Analisis Terhadap Kekosongan Hukum dalam Pengawasan Peredaran Prekursor,"Kasus narkoba tidak henti-hentinya terdengar di media televisi, radio dan media cetak yang memberitakan tentang penyalahgunaan narkoba mulai dari penggunaan hingga peredaran gelapnya. Narkoba sangat memiliki harga nominal yang sangat tinggi, sehingga banyak orang menjadikan narkoba sebagai ladang bisnis, tanpa menghiraukan dampak bahaya ataupun resiko dari apa yang mereka lakukan. Seperti halnya bahan prekursor yang mana merupakan bahan pemula atau bahan kimia yang digunakan dalam berbagai kegiatan industri farmasi dan industri non farmasi dan untuk kegiatan pengembangan ilmu pengetahuan dan teknologi malah disalahgunakan sebagai bahan pembuat narkotika dan psikotropika dari sinilah bahan prekursor sangat perlu mendapatkan pengawasan khusus agar tidak disalahgunakan.
Badan Narkotika Provinsi Jawa Timur merupakan lembaga yang menangani setiap permasalahan narkoba di seluru Wilayah Provinsi Jawa Timur. Dalam penanganan dan upaya pencegahan tindak pidana narkoba, Badan Narkotika Provinsi Jawa Timur melakukan pengawasan terhadap peredaran gelap prekursor dimana bertujuan agar bahan prekursor tidak disalah gunakan.
Penelitian ini menggunakan metode Sosio Legal Research yang mana dalam penelitian ini menggunakan pendekatan fact/case approach yang di lakuka dengan cara menelaah terhadap kasus-kasus yang berkaitan dengan isu yang dihadapi atau fakta yang terjadi dilapangan.
Badan Narkotika Provinsi Jawa Timur telah berhasil melakukan pengawasan terhadap peredaran gelap prekursor sebagai upaya pencegahan tindak pidana narkoba di Wilayah Provinsi Jawa Timur. Meskipun dalam hal ini masih membutuhkan banyak cara lain agar penyalahgunaan narkoba benar-benar dapat di berantas khususnya di Wilayah Provinsi Jawa Timur.
","Drug cases endlessly heard on television, radio and print media preach about drug abuse ranging from the use and circulation of darkness. Drugs really have a very nominal price high, so many people make drugs as a farm business, regardless of the impact of hazards or risks of what they are doing. Just as the precursor material, which is the starting material or chemicals used in the pharmaceutical industry activities and non-pharmaceutical industries and for the development of science and technology instead abused as a narcotic and psychotropic maker of precursor material where it is necessary to get the special supervision so as not to misused.
East Java Narcotics Agency is the agency that handles every drug problems across any area of East Java province. In the treatment and prevention of drug offenses, East Java Narcotics Agency oversight of illicit precursor wherein the precursor material is not intended to be misused.
This study uses the Socio Legal Research which is in fact the research approach / case approach which lakuka by examining the cases related to issues faced or fact that occur in the field.
East Java Narcotics Agency has successfully conducted surveillance of illicit precursor as prevention of drug offenses in the area of East Java province. Although in this case still needs a lot of other ways that drug abuse can completely eradicate, especially in areas in East Java province.","Tolib Effendi, SH., MH.","Agus Ramdlany, SH., MH.",Ilmu Hukum
TOMMY ADITYA PARLINDUNGAN MARBUN,PERLINDUNGAN HUKUM BAGI KONSUMEN ATAS PRODUK ELEKTRONIK YANG TIDAK MEMILIKI PANDUAN BAHASA INDONESIA,"
Produk elektronik adalah suatu benda bergerak yang dihasilkan melalui proses produksi oleh pengusaha elektronik berupa Peralatan atau alat yang bekerja berdasarkan kerja elektronika. Produk elektronik selalu update atau bervariasi baik dari segi bentuk maupun kecanggihannya, contohnya adalah televisi, radio, handphone, perekam kaset, perekam compact disc, kamera digital, kamera video dan lain-lain. Jenis-jenis produk elektronik tersebut merupakan barang yang sering digunakan dan telah menjadi kebutuhan setiap manusia karena banyak membantu pekerjaan manusia di kehidupan sehari-hari baik dalam efesiensi waktu maupun tenaga sehingga produk elektronik sangat diminati oleh manusia. Banyak beredar produk elektronik yang tidak memiliki panduan Bahasa Indonesia baik produk dalam negeri maupun produk luar negeri. Hal ini jelas telah melanggar Pasal 8 Ayat 1 huruf (j) UUPK, Peraturan Menteri Perdagangan Republik Indonesia Nomor 19/M-DAG/PER/5/2009 tentang Pendaftaran Petunjuk Penggunaan (Manual) Dan Kartu Jaminan/Garansi Purna Jual Dalam Bahasa Indonesia Bagi Produk Telematika Dan Elektronika dan juga Peraturan Menteri Perdagangan Republik Indonesia Nomor 22/M-DAG/PER/5/2010 tentang Kewajiban Pencantuman Label Pada Barang. Tujuan peneliti adalah untuk mengetahui apakah pelaku usaha yang menjual produk elektronik memiliki kewajiban untuk mencantumkan panduan bahasa Indonesia serta siapakah yang dapat  digugat oleh konsumen yang mengalami kerugian atas produk elektronik yang tidak memiliki panduan bahasa Indonesia. Metode yang digunakan adalah yuridis normatif. Adapun pendekatan yang digunakan ialah pendekatan peraturan perundang-undangan (statute approach). Hasil dari penelitian ini menunjukkan bahwa produk elektronik termasuk barang yang wajib untuk mencantumkan buku panduan bahasa Indonesia dan jika produk elektronik tersebut di produksi dalam negeri maka produsen yang membuat produk elektronik harus bertanggung jawab sedangkan jika produk elektronik tersebut berasal dari luar negeri maka yang bertanggung jawab adalah importir sebagai pihak yang memasukkan produk elektronik tersebut ke wilayah Indonesia.
","Electronic products is an object moves through the production process generated by electronics employers in the form of equipment or tool that works based on the work of electronics. Electronic products always update or varied in terms of both form and sophistication, for example, is television, radio, mobile phones, tape recorders, compact disc recorders, digital cameras, video cameras and others. The types of electronic products is a frequently used items and have become the need of every human being as a lot of work helping people in daily life both in time as well as energy efficiency that electronic products are in great demand by the people. Many outstanding electronic products that do not have a good guide to Indonesian domestic products and foreign products. This is a clear violation of Article 8 Paragraph 1 letter (j) of BFL, Regulation of the Minister of Trade of Republic of Indonesia Number 19/M-DAG/PER/5/2009 Registration User Guide (Manual) and Warranty Card/Aftermarket Warranty For In Indonesian Electronics and Telematics products and also Regulation of the Minister of Trade of the Republic of Indonesia No.22/M-DAG/PER/5/2010 on obligations Inclusion Label on Goods. The researchers' goal was to determine whether the businesses that sell electronic products have an obligation to provide guidance Indonesian and who can be sued by consumers who suffered losses from the electronic product that does not have a guide to Indonesian. The method used is normative. The approach used is to approach legislation (statute approach). The results of this study indicate that the electronic products including items required to include Indonesian guidebooks and if the electronic product in domestic production of the manufacturers who make electronic products should be responsible while if the electronic products come from overseas it is responsible importers as a party to enter the electronic products to Indonesia","DR. DJULAEKA, S.H., M.HUM","DR.USWATUN HASANAH, S.H., M. HUM",Ilmu Hukum
RICA YENA IMADHORA,"TELAAH  KRITIS TENTANG ALASAN HUKUM YANG DIGUNAKAN OLEH  PAPERA UNTUK TIDAK MELANJUTKAN 
PERKARA PIDANA KE PENGADILAN MILITER 
", ,,"Dr. DENI SBY, S. H., M. S.","SAIFUL ABDULLAH, S. H., M. H.",Ilmu Hukum
Mojiono,Sifat Fisik dan Profil Gelatinisasi Tepung Uwi Ungu Termodifikasi Secara Fisik,"Teknologi modifikasi pada tepung non konvensional memungkinkan menaikkan kemampuan subtitusi terhadap terigu pada produk roti dan manfaat fungsional. Tujuan penelitian ini adalah mempelajari perubahan sifat fisik dan profil gelatinisasi tepung uwi ungu yang dimodifikasi secara fisik. Metode modifikasi yang digunakan adalah hidrotermal annealing. Faktor penelitian adalah suhu (40, 45, 50, 55, 60°C) dan waktu (1, 6, 12, 18, dan 24 jam). Rancangan penelitian disusun menurut rancangan Central Composite Design pada Response Surface Methodology (RSM). Nilai WSI mengalami peningkatan hingga 64% pada kisaran suhu 45-50°C dan waktu 12-18 jam. Perlakuan suhu dan waktu di atas atau dibawah rentang perlakuan tersebut menghasilkan nilai yang WSI rendah hingga 58%. Sementara itu, nilai WAI paling rendah (8,75 g/g) diketahui terjadi pada kombinasi kisaran suhu 60°C dan waktu 1 jam. Kondisi tersebut juga terjadi pada kombinasi suhu 40°C dan waktu 24 jam. Perlakuan annealing tidak mengubah bentuk granula. Sementara itu, annealing menurunkan nilai peak viscosity, final viscosity secara berturut hingga 151 cP, 355 cP, dan menaikkan peak time hingga 13 menit. Peningkatan nilai peak time menunjukkan peningkatan stabilitas pati akibat pengaruh hidrotermal annealing.

Kata kunci: annealing, sifat fisik, profil gelatinisasi
","Starch modification technology has a potential to increase the ability of non conventional flour to subtitute wheat flour on bakery products, while also gives more functional benefits. The purpose of this research was to study changes in physical properties, and gelatinization profile of modified purple yam flour. The modification method used was hydrothermal annealing.  Temperature (40, 45, 50, 55, 60°C) and time (1, 6, 12, 18, and 24 h) were two factors studied. Design experiment was prepared by using Central Composite Design in Response Surface Methodology (RSM). Water Solubility Index (WSI) increased to reach 64% at 45-50°C and 12-18 h. The lowest WSI was 58% which happened at treatment outside the highest range. Meanwhile, the lowest WAI value (8.75 g/g) was resulted from annealing at 60°C and in 1h. Similar WAI value was also shown by annealed flour at 40°C and 24 h. Annealing didn’t alter the form of granules as seen by microscope. Meanwhile, annealing decreased the value of peak viscosity, final viscosity to 151 cP, 355 cP, respectively, and increased the peak time to 13 min. Increase in peak time indicated the rising stability of starch under the influence of annealing.

Keywords: hydrothermal annealing, physical properties, gelatinization profile
","Ir. Umi Purwandari, M.App.Sc., Ph.D","Burhan, S.TP., MT",Teknologi Industri Pertanian
Rudiyana Maf 'Ulah,PENGARUH KONSENTRASI FLOKULAN (MAGNAFLOC LT 27 P) PADA NIRA TEBU SEGAR DAN NIRA TEBU WAYU HASIL PEMURNIAN NIRA CARA SULFITASI TERHADAP KUALITAS NIRA,"Kualitas gula yang dihasilkan tergantung pada kualitas bahan baku tebu giling dan kualitas nira yang diperoleh dari proses pemurnian. Proses pemurnian nira diperlukan untuk membuang atau menghilangkan zat bukan gula yang terkandung dalam nira mentah, sehingga dihasilkan nira gula dengan kadar sukrosa yang tinggi dan jernih. Penambahan flokulan dapat mempercepat terjadinya pengendapan dalam menghasilkan nira jernih karena terjadi penyerapan endapan partikel-partikel kecil dari sekitarnya ke permukaan endapan. Penambahan flokulan harus memiliki dosis yang tepat agar berpengaruh terhadap proses pengendapan.Tujuan penelitian skripsi ini meliputi: 1. Mengetahui pengaruh konsentrasi flokulan terhadap kualitas nira jernih hasil pemurnian cara sulfitasi. 2. Mengetahui pengaruh tingkat kewayuan tebu terhadap kualitas nira jernih hasil pemurrnian cara sulfitasi. Metode pemurnian nira dilakukan dengan cara sulfitasi pada nira tebu segar dan nira tebu wayu (tebu ditunda 3 hari). Pada pemurnian nira cara sulfitasi pemanasan pertama dilakukan hingga suhu 75 ºC untuk ditambahkan susu kapur hingga pH 9 dan penambahan gas SO2 hingga pH mencapai 7,2. Pemanasan kedua dilakukan pada suhu 100 ºC kemudian pemanasan dihentikan untuk uji pengendapan. Uji pengendapan dilakukan dengan penambahan flokulan pada variasi konsentrai 0 ppm, 2 ppm, dan 4 ppm. nira jernih setelah uji pengendapan dianalisis kadar turbiditas, HK nira jernih, dan delta HK nira. Hasil penelitian menunjukkan bahwa konsentrasi flokulan berpengaruh nyata terhadap turbiditas nira jernih. Turbiditas tertinggi terdapat pada konsentrasi 0 ppm yaitu 38,17 ppm SiO2 dan terendah pada konsentrasi 4 ppm dengan kadar turbiditas 13,80 ppm SiO2. Waktu tunda giling tebu berpengaruh nyata terhadap HK dan delta HK nira. HK nira jernih tebu segar (96,98 %) lebih tinggi dibandingkan HK nira jernih dari tebu wayu 3 hari (88,71 %). Delta HK nira jernih tebu segar (8,30 %) lebih tinggi dibandingkan HK nira jernih dari tebu wayu 3 hari (1,91 %). Jadi, penundaan waktu giling tebu dapat menurunkan kualitas nira.

Kata kunci: pemurnian nira, kualitas nira, flokulan, dan proses sulfitasi.","The quality of sugar produced depends on the quality of raw materials and the quality of milled cane juice obtained from the purification process. Juice purification process is needed to remove or eliminate the non-sugar substances contained in raw sap, sap to produce sugar with high sucrose content and clarity. The addition of flocculants can accelerate the deposition of the produce due to the absorption of clear juice sediment particles to the surface of the surrounding sediment. The addition of flocculants should have the right dose in order to influence the process of settled. The goal of this thesis include: 1. Determine the effect of flocculant concentration on quality sap clear the way sulfitasi purification. 2. Determine the effect of time delay of sugarcane milled (3 days) on the quality of juice purity. Method of purification is done by sap sulfitasi on fresh sugar cane juice and palm unfreshsugar cane (cane delayed 3 days). In the refining sap sulfitasi first heating means carried by 75 ºC temperature for the milk of lime is added to pH 9 and the addition of SO2 gas until pH reaches 7,2. A second heating at a temperature of 100ºC and then heating was stopped for the deposition tests. Precipitation test performed by the addition of flocculant concentration on the variation of 0 ppm, 2 ppm and 4 ppm. sap clear after the deposition tests were analyzed levels of turbidity, HK clear sap, and sap delta HK. The results showed that the concentration of flocculant significantly affect sap clear turbidity. The highest turbidity present in concentrations of 0 ppm is 38.17 ppm SiO2 and the lowest in the concentration of 4 ppm to 13.80 ppm SiO2 turbidity levels. The time delay of sugarcane milled significantly affect HK and HK sap delta. HK clear juice fresh sugarcane (96.98%) higher than HK clear sap from unfreshsugar cane 3 days (88.71%). Delta HK clear cane juice of fresh sugar cane (8.30%) higher than HK clear sap from sugar cane unfresh 3 days (1.91%). So, the delay time can degrade the quality of milled cane juice.

Key words: purification sap, sap quality, flocculants, and sulfitasi process.","Darimiyya Hidayati, S.TP. MP.","Ir. Muhammad Fakhry, MP.",Teknologi Industri Pertanian
Indah Purnama Sari,Optimasi Penggunaan Tepung Labu Kuning dan Gum Arab pada Pembuatan Cup Cake,"Program diversifikasi bahan pangan lokal diharapkan dapat menurunkan impor tepung terigu. Tepung labu kuning diharapkan bisa mensubstitusi tepung terigu dalam pembuatan cup cake, dan gum arab ditambahkan untuk memperbaiki sifat tekstural dan volume pengembangan cup cake. Penelitian ini bertujuan (i) untuk mengetahui pengaruh penggunaan tepung labu kuning dan gum arab, (ii) untuk mengetahui kondisi optimum dari kombinasi perlakuan yang digunakan. Metode Response Surface Methodology (RSM) dipilih untuk mengoptimalkan faktor-faktor yang berpengaruh terhadap kadar air, volume pengembangan, cohesiveness dan adhesiveness cup cake. Proporsi tepung labu kuning dan gum arab dirancang menggunakan desain Central Composite Rotate Design (CCRD) masing-masing 5 level, yakni konsentrasi tepung labu 0%, 10 %, 20%, 30%, 40%, dan konsentrasi gum arab 0%, 0,2%, 0,4%, 0,6%, 0,8%. Hasil penelitian menunjukkan penggunaan tepung labu dan gum arab yang tinggi cenderung menaikkan kadar air cup cake, namun pada penggunaan konsentrasi tepung labu yang rendah dan gum arab yang cukup tinggi memberikan hasil yang optimal untuk volume pengembangan, cohesiveness dan adhesiveness cup cake. Kadar air, volume pengembangan dan cohesiveness cup cake yang optimum dicapai pada kombinasi perlakuan tepung labu dan gum arab 20 % : 0,8 %, sedangkan sifat adhesiveness cup cake yang optimum dicapai pada kombinasi perlakuan tepung labu dan gum arab 10 % : 0,6 %, sehingga kondisi optimum penggunaan tepung labu dan gum arab pada pembuatan cup cake labu kuning berdasarkan keempat parameter tersebut dicapai dengan proporsi tepung labu dan gum arab 10 – 20 % : 0,6 – 0,8 %.


Kata kunci: tepung labu kuning, gum arab, cup cake, RSM","Local food diversification program is expected to reduce imports of wheat flour. Pumpkin flour is expected to substitute wheat flour in making cup cakes, and gum arabic is added to improve the textural properties and the volume expansion cup cake. This study aims (i) to find out effect of using pumpkin flour and gum arabic, (Ii) to determine the optimum conditions of a combination of treatments is used. Methods of Response Surface Methodology (RSM) is selected to optimize the factors that influence the water content, the volume of development, co hesiveness and adhesiveness cup cake. The proportion of pumpkin flour and gum arabic designed using Central Composite design Rotate Design (CCRD) each 5 levels, namely the concentration of pumpkin flour 0%, 10%, 20%, 30%, 40%, and the concentration of gum arabic 0%, 0.2%, 0.4%, 0.6%, 0.8%. Results showed that used of total flour and gum arabic pumpkins tend to raise the level of high water cup cake, but the use of a low concentration of pumpkin flour and gum arabic is high enough to yield optimal volume development, cohesiveness and adhesiveness cup cake. Levels of water, volume development and cohesiveness cup cake optimum combination treatment achieved the pumpkin flour and gum arabic 20%: 0.8%, while the nature of optimal adhesiveness cup cake flour combination treatment achieved the pumpkin and gum arabic 10%: 0.6%, so k ondisi optimum use pumpkin flour and gum arabic on making pumpkin cake cup based on four parameters are achieved by the proportion of pumpkin flour and gum arabic 10-20%: 0.6 - 0, 8%.


Keywords: pumpkin flour, gum arabic, cup cake, RSM
",Dr. Umi Purwandari,"Supriyanto, S.TP.,M.P",Teknologi Industri Pertanian
Ahmad Fawaid Kurniawan,Kondisi Optimum Pembuatan Cup Cake Tersubstitusi Tepung Talas Dengan Penambahan Gum Arab,"ABSTRAK
Bahan pangan lokal yang dapat mensubstitusi tepung terigu yang sangat potensial salah satunya talas yang dapat dijadikan tepung, karena memililki kandungan karbohidrat yang cukup tinggi. Tepung talas diharapkan bisa mensubstitusi tepung terigu dalam pembuatan cup cake, dan penambahan gum arab diharapkan dapat memperbaiki kekentalan/viskositas, tekstur, dan mempertahankan flavour cup cake.    Penelitian ini bertujuan (i) Mengetahui sifat kimia dan tekstural tepung talas (ii) Mengetahui pengaruh penggunaan tepung talas dan penambahan gum arab pada kadar air, volume cup cake dan sifat tekstural cup cake, (iii) Mengetahui kondisi optimal penggunaan tepung talas dan penambahan gum arab pada pembuatan cup cake . Metode Response Surface Methodology (RSM) dipilih untuk mengoptimalkan faktor-faktor yang berpengaruh terhadap parameter kadar air, volume cup cake, adhesiveness, cohesiveness, dan hardness. Proporsi tepung talas, dan gum arab, dirancang menggunakan desain Central Composite Rotatable Design (CCRD). Masing-masing 5 level, yakni proporsi tepung talas 0%, 10%, 20%, 30%, 40% dan proporsi gum arab 0%, 0,2%, 0,4%, 0,6%, dan 0,8%. Analisis data dilakukan menggunakan software minitab 14 model second order polinomial. Hasil penelitian menunjukkan bahwa tepung talas mempunyai komposisi kimia yaitu protein 7,81%, lemak 0,67%, amilosa 63,41%, amilopektin 1,36%, kalsium 90 mg/100g, phosfor 182 mg/100g, kalium 2,1 mg/100g, dan memiliki ukuran granula pati yang cukup besar (28,39 ?m) di bandingkan dengan terigu (20-22 µm) dan memiliki sifat gel yang tidak mudah pecah. Adhesiveness, hardness yang optimum pada kombinasi proporsi tepung talas (30% - 40%) dan konsentrasi gum arab (0% - 0,4%). Kadar air, volume cup cake optimum pada kombinasi proporsi tepung talas (0% - 20%) dan konsentarsi gum arab (0% - 0,5%), sedangkan sifat cohesiveness optimum pada proporsi kombinasi tepung talas (20% - 30%) dan konsentrasi gum arab (0,4% - 0,8%). Kondisi yang disarankan untuk hasil optimum dalam pembuatan cup cake talas yaitu 40 % tepung talas dan 0,5 % gum arab.

Kata Kunci: Tepung Talas, Cup Cake, Gum Arab, RSM
","ABSTRACT
Taro which has high carbohydrate content, is one of the local tubers that has potential for substituting wheat flour. Taro flour is expected to be able to substitute wheat flour on cup cake by adding some arabic gum for increasing the viscosity, textural quality, and enduring the flavor. This research aims are to know chemical and textural properties of cup cake and the number of taro flour and arabic gum added at the optimum condition. Experimental design used was Response Surface Methodology (Central Composite Rotatable Design – CCRD) which has two variables, taro flour level (0%, 10%, 20%, 30%, 40%) and arabic gum (0%, 0,2%, 0,4%, 0,6%, 0,6%, 0,8%). Parameters of quality observed are water content, cup cake’s volume, adhesiveness, cohesiveness, and hardness. The result was analyzed by using second order polynomial. The results showed that the chemical composition of taro flour protein is 7.81%, fat 0.67%, 63.41% amylose, amylopectin 1.36%, Calcium 90 mg/100g, 182 mg/100g phosfor, potassium 2.1 mg/100g, and has a size of starch granules are quite large (28.39 ?m) compared with wheat (20-22 ?m). Starch granule size larger, more resistant to hydrothermal treatment, and taro starch gel properties that are not easily broken.. The combination of taro flour (30%-40%) and arabic gum (0%-0,4%) resulted optimum adhesiveness and hardness. Meanwhile, the combination of taro flour (0%-20%) and arabic gum (0%-0,5%) resulted optimum water content and volume. The combination of taro flour (20%-30%) and arabic gum (0,4%-0,8%) resulted optimum cohesiveness. Overall, the optimum quality of cup cake was reached in taro flour 40% and arabic gum 5%. 

Keywords: Taro Flour, Cup Cake, Arabic Gum, RSM
",Dr. Umi Purwandari,"Burhan S.TP, M.T",Teknologi Industri Pertanian
Mohammad Osidani Aji Wijaya,ANALISIS FINANSIAL PADA PRODUKSI ROTI TAWAR MENGGUNAKAN SUBSTITUSI TEPUNG UWI UNGU (Dioscorea alata L. var purpurea),"ABSTRAK


Roti tawar merupakan makanan yang populer, dengan bahan utama tepung terigu. Pembuatan roti tawar dengan pencampuran tepung uwi ungu sebagai bahan substitusi diharapkan menjadi satu inovasi produk baru, mengurangi penggunaan tepung terigu, meningkatkan penggunaan tepung lokal, dan menambah manfaat fungsional. Tujuan penelitian ini adalah mengkaji analisis finansial berdasarkan NPV, IRR, B/C ratio, BEP, PBP, dan sensitivitas. Metode yang digunakan dalam penelitian adalah metode full costing yang digunakan untuk penentuan harga pokok produksi. Bahan yang digunakan dalam penelitian ini adalah tepung terigu, tepung uwi ungu, gula, mentega, susu skim, gum arab, ragi, beaker bonus, garam, dan air. Hasil dari penelitian ini adalah NPV sebesar Rp 29.636.521,00, IRR sebesar 15 %, B/C ratio sebesar 1,11509, PBP sebesar 4,17 tahun, BEP sebesar 4.469 unit dan sensitivitas pada saat harga bahan naik 15 %, serta penurunan harga jual produk sebesar Rp 500,00. Kesimpulan dari penelitian ini adalah usaha pembuatan roti tawar uwi ungu layak untuk dilakukan.

Kata kunci: uwi ungu, roti tawar, kelayakan usaha.
","Abstract

Bread is a popular food which made from wheat flour as main ingredients. Making bread that substituted by purple yam flour was expected to be a new product innovation, reducing the use of wheat flour, increasing the use of local flour, and adding functional benefits. The purpose of this study is to examine the financial analysis based on NPV, IRR, B/C ratio, BEP, PBP, and sensitivity. The method used in this study were full costing to determine production cost. The materials used in this study are wheat flour, purple yam flour, sugar, butter, skim milk, gum arabic, yeast, beaker bonus, salt, and water. The study results NPV Rp 29,636,521, IRR 15%, B/C ratio 1.11509, PBP 4.17 years, BEP at 4469 units. Meanwhile the sensitivity of the current material prices rise 15%, and decreasing in selling price of Rp 500.00. The conclusion of this study is feasible.
Keywords: purple yam, white bread, business feasibility.
","Banun Dyah Probowati S.TP, Msi",Dr. Umi Purwandari,Teknologi Industri Pertanian
