No,Judul Berita,Isi Berita,Tanggal Berita,Kategori Berita
6973,Pengamat Menilai Gebrakan Awal Erick Thohir Sebagai Menpora,"KOMPAS.com - Menteri Pemuda dan Olahraga Erick Thohir langsung membuat gebrakan di minggu-minggu awal jabatannya. Ia resmi mencabut Permenpora No 14 Tahun 2024 yang sempat menuai polemik di kalangan pelaku olahraga.Menpora Erick Thohir menyiapkan deregulasi besar-besaran dengan memangkas jumlah peraturan menteri dari 191 menjadi maksimal 20 aturan.Langkah itu mendapat sambutan positif dari berbagai pihak, termasuk pengamat sepak bola nasional, Kesit B Handoyo.Sebab keputusan tersebut sejalan dengan ekspektasi publik olahraga.Baca juga: Erick Thohir Buat Terobosan sebagai Menpora, KONI Jatim Beri Apresiasi“Pencabutan Permenpora 14 saya kira bagus, karena aturan itu agak rancu. Itu kan standar pengelolaan organisasi olahraga prestasi, tapi justru tumpang tindih,"" ujar pria yang biasa disapa Kesit itu kepada Kompas.com.""Dikhawatirkan independensi cabang olahraga bisa sirna karena adanya campur tangan langsung dari pemerintah.""""Kalau dicabut, ini kabar baik bagi cabang olahraga yang sejak awal mengkritisi aturan tersebut.”“Ini terobosan bagus. Dalam minggu-minggu pertamanya saja, Pak Erick sudah membuat gebrakan. Itu yang ditunggu-tunggu, dan dia langsung melakukannya. Keputusan yang sangat tepat di awal tugasnya sebagai Menpora,” imbuhnya.Kesit juga menilai rencana penyederhanaan Permenpora No 14 Tahun 2024 menjadi tidak lebih dari 20 aturan akan memberi kepastian bagi dunia olahraga.Baca juga: Sosok Penting FIFA Jadi Korban Hoaks di Indonesia, Erick Thohir Terseret“Selama ini terlalu banyak peraturan yang akhirnya tumpang tindih dan membingungkan masyarakat olahraga. Satu sisi dikatakan boleh, di sisi lain ada aturan yang melarang. Kalau 191 peraturan disederhanakan jadi 20, itu sangat bagus,"" kata Kesit B Handoyo.""Fokusnya lebih jelas, pelaku cabang olahraga bisa lebih leluasa dan tenang menjalankan tugasnya, baik keorganisasian maupun pembinaan,” sambungnya.Sementara itu Erick Thohir menegaskan bahwa kebijakan deregulasi ini merupakan bagian dari semangat reformasi birokrasi yang digalakkan Presiden RI Prabowo Subianto.“Kita harus kerja efisien dan efektif, birokrasi di Kemenpora harus sesuai ekspektasi Presiden, mengayomi, melayani, memastikan tujuan tercapai,” tuturnya  dalam konferensi pers, Selasa (23/9/2025).""Salah satu terobosan adalah deregulasi, ada 191 peraturan menteri yang akan kita kurangi sebanyak mungkin, kalau bisa di bawah 20, agar mempermudah kerja sama dengan stakeholder dan pemuda.""Baca juga: Pejabat FIFA Klarifikasi Pernyataan Palsu soal Menpora dan Ketum PSSI Erick ThohirIa menambahkan, keputusan mencabut Permenpora 14/2024 lahir dari masukan para stakeholder olahraga serta diskusi dengan pakar hukum nasional maupun internasional.Sehingga deregulasi bukan hanya soal memangkas aturan, tetapi juga memastikan aspirasi pelaku olahraga benar-benar diakomodasi.“Kebijakan ini merupakan bentuk keberpihakan terhadap pelaku olahraga. Artinya, kita bersinergi untuk membangun prestasi bersama,” pungkas Erick Thohir.",24/09/2025,BOLA
7835,"Enzo Maresca Sebut Liverpool Sulit Dikejar, Sinyal Chelsea Menyerah?","KOMPAS.com - Manajer Chelsea, Enzo Maresca menganggap sulit untuk menghentikan Liverpool untuk mempertahankan gelar juara Liga Inggris musim ini.Enzo Maresca bahkan blak-blakan jika misi tersebut ""mustahil"" bagi tim mana pun untuk menjegal langkah The Reds.Mengutip dari ESPN, opini Enzo Maresca memang bukan tanpa alasan, terlebih Liverpool saat ini kokoh di puncak klasemen dengan rekor lima kali kemenangan beruntun.Baca juga: Mohamed Salah Gagal Raih Ballon dOr 2025, Liverpool Ikut BerkomentarSetelah hasil imbang 2-2 di Brentford dan kalah  2-1 atas Manchester United, Chelsea kini tertinggal tujuh poin dari Liverpool.Maresca merasa sangat sulit bagi Chelsea untuk mengejar mereka untuk meraih trofi Liga Inggris musim ini.“Jika mereka terus seperti ini, saya rasa mustahil untuk mengejar mereka, bukan hanya bagi kami, tetapi juga bagi semua klub,” kata Maresca. Enzo Maresca memuji persiapan Liverpool menatap musim ini. Terlebih, skuad asuhan Arne Slot rela menggelontorkan dana besar di bursa transfer musim panas. Liverpool sukses merekrut Florian Wirtz dari Bayer Leverkusen seharga 116 juta pound dan mengeluarkan 125 juta pound untuk Alexander Isak jelang bursa berakhir.Baca juga: Reaksi Girang Lionel Messi Usai Ousmane Dembele Raih Ballon dOr 2025Secara keseluruhan, Liverpool menghabiskan lebih dari £400 juta untuk pemain baru.“Mereka telah melakukan pekerjaan yang fantastis sejak tahun lalu, dan para pemain yang mereka beli menunjukkan niat klub untuk kembali bersaing di Liga Primer dan Liga Champions, dan itu sangat jelas,” jelasnya.Padatnya laga yang diikuti Chelsea membuat Enzo Maresca harus memutar otak untuk menghindari kelelahan.Jelang menghadapi Lincoln City di Piala Liga Inggris, Maresca akan mencoba sejumlah pemain akademi Chelsea.Kesenjangan antara kedua tim membuat Chelsea menjadi favorit kuat untuk lolos ke babak selanjutnya.Baca juga: Liverpool Vs Southampton: Rotasi The Reds di Piala Liga InggrisMeski begitu, Maresca merasa tak nyaman memainkan laga menghadapai tim yang berasal dari kasta yang berbeda.""Secara pribadi, saya lebih suka bermain melawan tim Liga Primer daripada tim Liga Primer karena ini adalah jenis pertandingan yang paling saya khawatirkan karena kita bisa meremehkan lawan,""""Ini adalah sesuatu yang harus kami hindari, lakukan tugas kami, dan kemudian fokus pada Liga Primer [melawan Brighton] pada hari Sabtu,"" jelasnya.",23/09/2025,BOLA
3234,Kata-kata Arne Slot Usai Liverpool Telan Kekalahan Perdana,"KOMPAS.com - Pelatih Liverpool, Arne Slot, mengakui bahwa Crystal Palace memiliki kekuatan yang patut diperhitungkan. Liverpool racikan Slot tumbang 1-2 di markas Crystal Palace.Skor 2-1 menjadi hasil Crystal Palace vs Liverpool, laga pekan keenam Liga Inggris 2025-2026 yang digelar di Selhurst Park, London, pada hari Sabtu (27/9/2025).Kekalahan ini menjadi yang pertama bagi Liverpool di Liga Inggris musim ini. Sebelumnya, tim beralias The Reds arahan Arne Slot menyapu bersih lima pekan awal dengan kemenangan dan mengumpulkan 15 poin.Sementara itu, kemenangan untuk Palace ini adalah yang kedua berturut-turut di Liga Inggris. Hasil ini mengangkat mereka ke posisi kedua dengan total 12 poin.Baca juga: Hasil Crystal Palace vs Liverpool 2-1: Dramatis di Penghujung Laga“Sekali lagi, kredit untuk Palace karena, salah satunya adalah Community Shield, tapi ini bukan pertama kalinya kami kalah dari mereka, meskipun yang pertama lewat adu penalti.""""Kami sudah empat kali saling berhadapan sejak saya di sini – kami sama-sama menang sekali, dua kali imbang, meskipun mereka menang lewat penalti,” kata Slot dikutip dari laman resmi Liverpool.“Itu menunjukkan betapa sulitnya bagi kami, tapi bukan hanya bagi kami, bagi setiap tim di liga, untuk mengalahkan mereka. Dan itu yang bisa kita lihat hari ini,” ujar sang pelatih asal Belanda itu.Crystal Palace membuka skor pada menit kesembilan melalui gol Ismaila Sarr. Federico Chiesa berhasil menyamakan kedudukan untuk Liverpool pada menit ke-87.Namun, Eddie Nketiah memastikan kemenangan untuk tuan rumah dengan golnya pada menit ke-90+7.Baca juga: Liverpool Bayar Sisa Kontrak Diego Jota, Arne Slot Puji Kepedulian Luar Biasa Pemilik KlubDalam pertandingan ini, Liverpool mendominasi penguasaan bola dengan 73 persen, sementara Palace hanya memiliki 27 persen.Namun, dalam hal peluang, Palace lebih unggul dengan tujuh tembakan ke gawang dibandingkan empat dari Liverpool.""Sangat sulit untuk menciptakan peluang. Kami menciptakan cukup banyak. Butuh waktu lama bagi kami untuk mencetak gol,"" ujar Arne Slot.""Dan ketika kami melakukannya, (sisa) waktu terbatas untuk bermain,” tutur eks pelatih Feyenoord tersebut.Setelah kekalahan ini, Liverpool harus segera bersiap-siap untuk pertandingan berikutnya. Pada Rabu (1/10), mereka akan bertandang ke markas Galatasaray di ajang Liga Champions.",28/09/2025,BOLA
3216,Hasil dan Klasemen Liga Italia: Beda Nasib Juventus dan Inter Milan,"KOMPAS.com - Hasil terbaru pekan kelima Liga Italia 2025/2026 memperlihatkan perbedaan nasib antara Juventus dan Inter Milan.Bermain di Allianz Stadium, Turin, Sabtu (27/9/2025) waktu setempat atau malam WIB, Juventus hanya mampu bermain imbang 1-1 melawan Atalanta.Juventus justru tertinggal lebih dulu lewat aksi individu Kamaldeen Sulemana pada menit ke-45+1 yang dituntaskan dengan sepakan mendatar.Beruntung, pada menit ke-78 Juan Cabal sukses memanfaatkan kemelut di depan gawang Marco Carnesecchi untuk menyamakan skor.Hasil imbang tersebut membuat Juventus gagal meraih tiga poin penuh di kandang sendiri.Baca juga: Prakiraan Susunan Pemain Juventus Vs Atalanta di Liga ItaliaDi sisi lain, Inter Milan meraih hasil positif ketika melawat ke markas Cagliari di Stadion Unipol Domus, Minggu (28/9/2025) dini hari WIB.Nerazzurri berhasil membawa pulang tiga poin usai menang 2-0.Gol pertama tercipta lewat sundulan Lautaro Martinez yang menerima umpan silang Alessandro Bastoni pada menit ke-9.Kemenangan Inter kemudian dipastikan oleh Francesco Pio Esposito pada menit ke-82 setelah menyambut umpan Federico Dimarco.Tambahan tiga poin membuat Inter Milan naik ke peringkat lima klasemen sementara Klasemen Liga Italia 2025/2026 dengan sembilan poin.Dengan hasil ini, Juventus masih tertahan di peringkat kedua dengan 11 poin, sedangkan Inter Milan menempel di posisi kelima.Baca juga: Komentar Igor Tudor Juventus Lawan Verona 1-1: Tim Ini KelelahanSementara itu, Cagliari harus puas duduk di urutan ke-10 dengan koleksi tujuh angka, dan Atalanta turun ke posisi enam dengan sembilan poin.Selain dua laga tersebut, ada juga pertandingan antara Como 1907 kontra Cremonese yang berakhir imbang 1-1.Nico Paz membawa Como unggul lebih dulu di menit ke-32, namun Federico Baschirotto menyamakan kedudukan pada menit ke-69.Keterangan:No: PeringkatD: DimainkanM: MenangS: SeriK: Kalah-/+: Selisih GolP: Poin *Update terakhir Minggu (28/09/2025) pukul 05:22 WIBHasil ini membuat Como berada di posisi kedelapan, sedangkan Cremonese menempati peringkat sembilan.Baca juga: Cerita Legenda Juventus Bandingkan Kenan Yildiz dengan Lamine YamalSabtu, 27 September 2025Como 1907 (1) vs (1) CremoneseJuventus (1) vs (1) AtalantaCagliari (0) vs (2) Inter Milan",28/09/2025,BOLA
7654,"Dana Tersedia Rp 10 Miliar, Erick Thohir Bicara Target di SEA Games 2025","KOMPAS.com - Menteri Pemuda dan Olahraga Republik Indonesia (Menpora RI) Erick Thohir mengatakan dukungan pendanaan untuk mengikuti SEA Games Thailand 2025 yang tersedia saat ini baru senilai Rp 10 miliar.Erick Thohir menilai minimnya anggaran membuat Indonesia terancam tak bisa menurunkan banyak atlet untuk ajang multievent dua tahunan tersebut.""Dari pendanaan yang sekarang tersedia (untuk SEA Games 2025) baru Rp10 miliar, berarti kita hanya bisa mengirim 120 atlet,"" kata Erick Thohir dikutip dari Antara, Selasa (23/9/2025).Baca juga: Menpora Erick Thohir Cabut Permenpora No 14 Tahun 2024 dan Sederhanakan 191 PermenSebelumnya, Indonesia selalu mengirimkan kontingen mencapai 900-an atlet. Anggaran SEA Games umumnya berkisar Rp 45 miliar hingga Rp 65 miliar.Menyikapi hal tersebut, Menpora mengatakan akan segera membahas dengan Menteri Keuangan Purbaya Yudhi Sadewa untuk mengupayakan penambahan anggaran.""Saya yakin Pak Menkeu punya kecintaan yang sama terhadap olahraga nasional,"" katanya.Erick Thohir menjelaskan bahwa Kemenpora sejauh ini belum dapat memastikan target emas untuk SEA Games 2025.""Saya baru menerima chief demission barusan sama, Pak Menpora target emasnya berapa lah? Target emasnya kalian berapa? Kita sudah punya evaluasinya.""""Dan kita mau profesional Pak Ses (Sesmenpora Gunawan Suswantoro) ya dalam penilaian target emas apa saya gak pandang bulu,"" kata Erick Thohir dalam konferensi pers di Kantor Menpora, Jakarta, Selasa (23/9/2025).Baca juga: Miliano Jonathans Sebut Piala Dunia 2026 Sudah Sangat Dekat bagi Timnas IndonesiaErick ingin menunggu kepastian anggaran. Mengacu kepada bujet terkini, yakni Rp 10 miliar kemungkinan Indonesia hanya akan mampu mengirimkan 120 atlet ke SEA Games 2025.""Ya tunggu anggaran dulu. Kalau 10 miliar cuma 120 atlet. Artinya ya nanti kita lihat emasnya berapa. Karena kita hari ini sudah kehilangan 41 emas. Dari 87 kita kehilangan 41 emas,"" tambahnya.Ia menjelaskan lebih lanjut bahwa beberapa nomor tidak dipertandingkan sehingga memengaruhi pada target emas. Baca juga: Miliano Jonathans Sebut Piala Dunia 2026 Sudah Sangat Dekat bagi Timnas Indonesia""Dikarenakan banyak nomor yang tidak dipertandingkan. Bukan berarti kita kehilangan emas. Nomornya gak ada.""""Sekarang kita lagi gali lagi dari 46 bisa naik ke berapa? Kalau 46 ranking berapa? 6 kali ya? Kalau kita mau ranking 3 besar mungkin angkanya harus 80 ya kemarin 87 itu kan kira-kira 85 ke 90 lah."" ""Itu kan realita angkanya. Kalau 120 (atlet), berapa emasnya? Nanti dihitung dulu emasnya,"" jelasnya.",23/09/2025,BOLA
8371,Peran Messi dalam Keberhasilan Ousmane Dembele Raih Ballon d'Or 2025,"KOMPAS.com - Ousmane Dembele berterima kasih kepada Barcelona dan Lionel Messi setelah berhasil meraih trofi Ballon d'Or 2025.Dalam pidato kemenangannya di acara gala Ballon d'Or 2025 di Theatre du Chatelet, Paris, Perancis, Senin (22/9/2025) atau Selasa dini hari WIB, Ousmane Dembele, memberikan kredit kepada klub-klub yang pernah dibelanya.Ousmane Dembele menyebutkan bagaimana pengalaman bermain selama enam tahun di Barcelona ikut berkontribusi besar terhadap perkembangan kariernya.Pada kurun 2017-2023, Ousmane Dembele memang pernah membela Barcelona.""Saya juga berterima kasih kepada semua klub yang pernah saya bela, Borussia Dortmund, Rennes, FC Barcelona, klub impian dan tempat saya bermain bersama pemain-pemain hebat seperti (Andres) Iniesta dan Lionel Messi,"" tutur Dembele dilansir dari RMC Sport.Baca juga: Peringkat Akhir Ballon dOr 2025: Ousmane Dembele Teratas, Mo Salah 5 Besar""Ballon d'Or bukanlah tujuan utama dalam karier saya, tetapi itu luar biasa. Saya bekerja keras untuk tim ini hingga memenangkan Liga Champions.""""Diberi penghargaan dengan trofi seperti Ballon d'Or itu luar biasa, jadi begitulah, saya bahagia malam ini,"" ucap pria yang kini berusia 28 tahun tersebut.Pada musim lalu, Dembele menunjukkan performa yang luar biasa bersama PSG dengan. total 35 gol di semua kompetisi.AFP/FRANCK FIFE Kapten PSG Marquinhos mengangkat trofi Piala Super Eropa 2025. Paris Saint-Germain menjadi juara Piala Super Eropa 2025 setelah mengalahkan Tottenham Hotspur secara dramatis. Laga Piala Super Eropa 2025 PSG vs Tottenham diadakan di Stadio Friuli, Udine, Italia pada hari Kamis (14/8) pukul 02.00 WIB.Dembele tidak hanya produktif dalam mencetak gol, tetapi juga terlibat dalam aspek pertahanan tim dengan melakukan pressing intens terhadap lawan.Dengan kemampuan menciptakan peluang dan membuka ruang, Dembele menjadi salah satu aset penting bagi PSG.Baca juga: Lamine Yamal Sabet Kopa Trophy 2025, Ukir Catatan BersejarahKontribusinya yang signifikan membantu PSG meraih quadruple, termasuk gelar Liga Champions, Liga Perancis, Piala Perancis, dan Piala Super Perancis.Dalam acara seremoni Ballon d'Or 2025, PSG juga dianugerahi penghargaan Klub Pria Terbaik berkat prestasi mereka di musim lalu.Selain itu sang peracik taktik PSG, Luis Enrique diakui, sebagai Pelatih Pria Terbaik dan Gianluigi Donnarumma yang sudah pindah ke Manchester City meraih Yashin Trophy, simbol untuk penjaga gawang paling wahid sejagat.",23/09/2025,BOLA
2753,Arne Slot Akui Liverpool Pantas Kalah dari Crystal Palace,"KOMPAS.com - Pelatih Liverpool Arne Slot mengakui Crystal Palace pantas menang di laga pekan ke-6 Liga Inggris.Liverpool asuhan Arne Slot menelan kekalahan pertama di Liga Inggris musim ini setelah ditundukkan Crystal Palace 2-1 di Selhurst Park, Sabtu (27/9/2025).Gol Eddie Nketiah pada menit ketujuh injury time memastikan kemenangan tim tuan rumah.Crystal Palace membuka skor lewat Ismaila Sarr tiga menit jelang waktu normal berakhir.Liverpool sempat menyamakan kedudukan melalui Federico Chiesa lewat situasi sepak pojok.Namun, Palace memastikan tiga poin setelah tendangan voli Nketiah di masa tambahan tak mampu dibendung lini pertahanan The Reds.Baca juga: Kata-kata Arne Slot Usai Liverpool Telan Kekalahan PerdanaKemenangan ini membuat Palace menjadi satu-satunya tim yang belum terkalahkan di Liga Inggris musim ini.Mereka kini duduk di posisi kedua klasemen Liga Inggris dengan selisih tiga poin dari pemuncak.Sementara Liverpool harus menerima rekor kemenangan beruntunnya terhenti di pekan keenam.Arne Slot menilai hasil tersebut adil untuk Palace. Ia mengakui tim asuhan Oliver Glasner tampil lebih efektif.“Mereka mencetak lebih dari dua gol dari situasi bola mati,” kata Slot.“Mereka tidak mencetak lebih banyak gol, tetapi mereka memiliki peluang dari permainan terbuka, dari transisi. Jadi, ada lebih banyak hal yang tidak disukai daripada hanya bertahan dari situasi bola mati,” ungkap Slot.Slot juga menyinggung peran penting kiper Liverpool Alisson Becker yang beberapa kali menyelamatkan gawang.Baca juga: Gerutu Amorim ke Wasit Usai MU Kalah dari Brentford“Hal baiknya adalah di momen-momen lain, Alisson menyelamatkan kami. Palace memiliki beberapa ancaman.""""Situasi bola mati adalah salah satunya, tetapi serangan balik dan umpan lambung adalah nomor dua dan tiga. Dari semua situasi ini, mereka menciptakan banyak peluang,” ucapnya.",28/09/2025,BOLA
1421,Kairat Almaty Vs Real Madrid: Xabi Alonso Sebut Perjalanan Jauh Bukan Halangan,"KOMPAS.com - Pelatih Real Madrid Xabi Alonso menekankan bahwa timnya harus beradaptasi usai menempuh perjalanan jauh ke markas Kairat Almaty jelang matchday kedua Liga Champions 2025-2026.Jadwal Kairat Almaty vs Real Madrid di laga Liga Champions akan bergulir pada Selasa (30/9/2025) pukul 23.45 WIB di Stadion Ortalyq, Kazakhstan.Untuk pertama kalinya, tim asuhan Xabi Alonso akan meladeni tantangan klub debutan UCL asal Kazakhstan tersebut.Kairat Almaty adalah lawan Madrid dari pot 4, pot terendah dalam undian UCL akhir Agustus lalu.Meski begitu, menghadapi Kairat Almaty bukanlah tanpa tantangan. Real Madrid harus menempuh perjalanan jauh untuk melakoni laga tandang tersebut.Pasalnya, jarak antara Bandara Barajas di Madrid, Spanyol, dan bandara Almaty di Kazkhstan adalah sekitar 6.420 kilometer.Jarak itu lebih jauh dari jarak Bandara Blang Bintang di Banda Aceh ke Bandara Sentani di Jayapura yang ""hanya"" mencatat 5.093 kilometer.Baca juga: Kairat Almaty Vs Real Madrid: Xabi Alonso Ajak Tim Lupakan Pahit DerbiMerespon hal ini, Xabi Alonso menegaskan bahwa timnya mesti beradaptasi.Ia juga menyatakan bahwa perjalanan jauh bukanlah alasan untuk meraih hasil maksimal kontra Kairat Almaty.""Anda harus beradaptasi dan ini bukan pertanyaan apakah perjalanan itu mengganggu Anda atau tidak,"" ucap Xabi Alonso, dikutip dari laman resmi klub.""Kami telah mengubah peta jalan yang biasa, tetapi dalam sepak bola yang paling cerdas adalah orang yang paling beradaptasi.""""Ini hanya pertandingan lain dan perjalanan bukanlah halangan atau alasan,"" imbuhnya.Xabi Alonso mengaku telah mengantongi kekuatan Kairat Almaty, berdasarkan penampilan tim tersebut di laga pertama UCL dan laga play-off.Seperti diketahui, Kairat Almaty kalah dari Sporting Lisbon di matchday pertama UCL dengan skor 1-4.Baca juga: Xabi Alonso Ungkap Penyebab Kekalahan Telak Real Madrid dari Atletico""Kami telah melihat pertandingan melawan Celtic dan tempo hari melawan Sporting de Portugal. Dia memiliki inti yang terbentuk dengan baik dan dalam serangan dia memiliki opsi dengan profil yang berbeda,"" ungkap Xabi Alonso.""Mereka adalah tim yang berada di Liga Champions dan pantas berada di Liga Champions,"" lanjut eks pelatih Bayer Leverkusen itu.Laga Real Madrid vs Kairat Almaty bisa jadi momen kebangkitan Los Blancos usai dipermalukan Atletico di laga Derbi Madrid Liga Spanyol pekan lalu dengan skor telak 5-2.",30/09/2025,BOLA
8647,"Baru Dilantik Jadi Menpora, Erick Thohir Tetap Ketum PSSI sampai 2027","KOMPAS.com - Erick Thohir yang belum lama ini dilantik sebagai Menpora RI, dipastikan akan tetap menjadi Ketua Umum PSSI.Kepastian tersebut diketahui dari surat FIFA yang diterima pada Senin (22/9/2025) pagi WIB.Seiring surat dari FIFA tersebut, Erick Thohir bakal terus memimpin Federasi Sepak Bola Indonesia hingga tahun 2027.""Tadi pagi saya dapat surat FIFA, yang menyatakan secara statuta dengan track record saya yang sudah ada selama ini di sepak bola itu tidak ada benturan kepentingan,"" tutur Erick Thohir dalam keterangan tertulis yang diterima KOMPAS.com pada Senin (22/9/2025).Seperti diketahui, Erick Thohir belum lama ini dilantik sebagai Menteri Pemuda dan Olahraga Republik Indonesia.Baca juga: Kata Founder Football Institute Soal Rangkap Jabatan Erick ThohirIa secara resmi dilantik menggantikan posisi Dito Ariotedjo sebagai Menpora per 17 September 2025 silam.""Jadi saya clean and clear, nah tentu sebagai Menpora saya jaga keseimbangan itu,"" ujar Erick.Dalam tugasnya sebagai Menpora RI yang baru, Erick Thohir menjelaskan prinsip keberimbangan.Instagram/Gianni Vincenzo Infantino  Presiden FIFA Gianni Vincenzo Infantino dan Ketua Umum PSSI Erick Thohir foto bersama.Ia mengaku akan memerhatikan cabang-cabang olahraga lain dan tak hanya terfokus kepada sepak bola.""Tidak mungkin saya sebagai Menpora, anak emasnya sepak bola, enggak. Anak emas saya nanti itu cabang olahraga unggulan yang 13 atau 14 Cabor itu. Dan tentu olahraga yang lain, kita tata ulang,"" ujar eks Presiden Inter Milan tersebut.Baca juga: Komisi X DPR Dukung Erick Thohir Sebagai Menpora dan Ketua Umum PSSI""Saya mengucapkan terima kasih kepada FIFA, atas kepercayaannya, dan Bapak Presiden juga, ketika pelantikan, juga bicara kepada saya secara langsung saya percaya bapak Erick bisa menjalankan semua dengan baik.""""Saat itu, saya tidak mau bicara sebelum ada black and white,"" ucap Erick Thohir menjelaskan.Periode jabatan Erick Thohir sebagai Ketua Umum PSSI berlangsung dari 2023 sampai 2027.Sebelumnya, dalam perjalanan sebagai Ketua Umum PSSI, Erick Thohir, juga sempat memegang jabatan lain di pemerintahan, persisnya sebagai Menteri BUMN per 21 Oktober 2024.Ia lalu meninggalkan Kementerian BUMN setelah mendapatkan kepercayaan sebagai Menpora pada September 2025 ini.",22/09/2025,BOLA
2674,"Dean James Supersub, Go Ahead Eagles Kalah Lawan Tim Promosi","KOMPAS.com - Go Ahead Eagles alami kekalahan di pekan ketujuh Eredivisie 2025-2026 melawan tim promosi, SC Telstar dengan skor 4-2.Pertandingan SC Telstar vs Go Ahead Eagles digelar di Stadion BUKO pada Minggu (28/9/2025) malam WIB.Gol Telstar dicetak oleh Kay Tejan menit ke-7', Nils Rossen menit ke-42', Jochem Ritmeester menit ke-71', dan Soufiane Hetli menit ke-90+4'.Baca juga: Rapor Calvin Verdonk Usai Lawan Lyon, Catat Rating Tertinggi di LilleDua gol balasan Goa Ahead Eagles dicetak lewat gol bunuh diri Kay Tejan menit ke-45+1, dan Milan Smit menit ke-73.Kekalahan ini menjadi yang kedua secara beruntun dialami Go Ahead Eagles setelah sebelumnya tumbang dari FCSB di Europa League.Atas kekalahan ini, Go Ahead Eagles gagal menembus papan atas dan tertahan di posisi ke-10 klasemen sementara.Baca juga: Hasil Lille Vs Lyon 0-1, Calvin Verdonk Masih Belum Menang di Ligue 1Sedangkan bagi Telstar, kemenangan ini menjadi yang kedua setelah sempat mempermalukan juara bertahan PSV di kandangnya sendiri.Telstar saat ini masih tertahan di peringkat ke-13 dengan koleksi 7 poin.Pemain timnas Indonesia, Dean James mendapat kesempatan bermain di laga ini.Jika biasanya ia tampil sejak menit awal, kini pelatih Go Ahead Eagles Melvin Boel menyimpannya terlebih dahulu di bangku cadangan.Posisinya digantikan pemain Denmark, Aske Adelgaard di sisi sebelah kiri.Dean James masuk saat situasi genting Go Ahead Eagles tertinggal 3-1 dari Telstar.Baca juga: Kiper Cadangan Cremonese Tahu Bahwa Emil Audero Tengah Cedera BetisMelvin Boel memasukkan Dean James di menit ke-79 menggantikan Adelgaard untuk meningkatkan agresivitas serangan.Kehadiran Dean James ternyata belum mampu menyelamatkan Go Ahead Eagles dari kekalahan dan skor 4-2 bertahan hingga akhir.Dean James mendapat kesempatan bermain selama 11 menit di laga ini di posisi bek kiri. Menurut statistik Fotmob, Dean James mendapat rating 6,1.Akurasi umpan James mencapai 71 persen, 1 kali kontribusi bertahan, 17 kali sentuhan bola, dan 20 persen akurasi umpan lambung.Dean James sukses memenangi 2 kali dari tiga percobaan duel udara.",29/09/2025,BOLA
